seq7981	seq7982
seq7981	seq7984
seq7981	seq7985
seq7981	seq7986
seq7981	seq17522
seq7987	seq7987
seq7988	seq7988
seq7990	seq7990
seq7990	seq7989
seq7991	seq7991
seq7991	seq7972
seq7992	seq7992
seq7992	seq5608
seq7992	seq7927
seq7992	seq7928
seq7992	seq7929
seq7992	seq7930
seq7992	seq7931
seq7992	seq7932
seq7992	seq7933
seq7992	seq7934
seq7992	seq7935
seq7992	seq7936
seq7993	seq7993
seq7994	seq7994
seq7994	seq7995
seq7994	seq7996
seq7994	seq8032
seq7997	seq7997
seq8000	seq8000
seq8501	seq8501
seq8501	seq8556
seq8501	seq8557
seq8501	seq8549
seq8501	seq8548
seq8501	seq37435
seq8504	seq8504
seq8504	seq9389
seq8504	seq9390
seq8504	seq9480
seq8505	seq8505
seq8506	seq8506
seq8508	seq8508
seq8512	seq8512
seq8513	seq8513
seq8514	seq8514
seq8515	seq8515
seq8517	seq8517
